type,title,year
movie,Paris Is Burning,1991
movie,Brother's Keeper,1992
movie,Hoop Dreams,1994
movie,Crumb,1994
movie,Paradise Lost: The Child Murders at Robin Hood Hills,1996
movie,Buena Vista Social Club,1999
movie,American Movie,1999
movie,Capturing the Friedmans,2003
movie,Super Size Me,2004
movie,Born Into Brothels,2004
movie,Grizzly Man,2005
movie,Enron: The Smartest Guys in the Room,2005
movie,Why We Fight,2005
movie,An Inconvenient Truth,2006
movie,God Grew Tired of Us,2006
movie,Jesus Camp,2006
movie,Man on Wire,2008
movie,Trouble the Water,2008
movie,The Cove,2009
movie,The September Issue,2009
movie,Restrepo,2010
movie,Exit Through the Gift Shop,2010
movie,Catfish,2010
movie,Senna,2010
movie,The Queen of Versailles,2012
movie,How to Survive a Plague,2012
movie,The Invisible War,2012
movie,Ai Weiwei: Never Sorry,2012
movie,Chasing Ice,2012
movie,Searching for Sugar Man,2012
movie,The Act of Killing,2012
movie,The Square,2013
movie,Blackfish,2013
movie,The Crash Reel,2013
movie,Cutie and the Boxer,2013
movie,Dirty Wars,2013
movie,20 Feet from Stardom,2013
movie,Life Itself,2014
movie,The Internet's Own Boy: The Story of Aaron Swartz,2014
movie,The Overnighters,2014
movie,Rich Hill,2014
movie,The Case Against 8,2014
movie,Citizenfour,2014
movie,The Hunting Ground,2015
movie,The Wolfpack,2015
movie,Cartel Land,2015
movie,"What Happened, Miss Simone?",2015
movie,Going Clear: Scientology and the Prison of Belief,2015
movie,Amy,2015
movie,O.J.: Made in America,2016
movie,Weiner,2016
movie,Life Animated,2016
movie,13th,2016
movie,I Am Not Your Negro,2016
movie,Tickled,2016
movie,The Eagle Huntress,2016
movie,Strong Island,2017
movie,Casting JonBenet,2017
movie,Icarus,2017
movie,Dina,2017
movie,The Work,2017
movie,Step,2017
movie,Jane,2017
movie,Won't You Be My Neighbor?,2018
movie,RBG,2018
movie,Three Identical Strangers,2018
movie,Minding the Gap,2018
movie,"Hale County This Morning, This Evening",2018
movie,Shirkers,2018
movie,American Factory,2019
movie,Apollo 11,2019
movie,Knock Down the House,2019
movie,Honeyland,2019
movie,One Child Nation,2019
movie,Midnight Family,2019
movie,The Biggest Little Farm,2018
movie,Crip Camp: A Disability Revolution,2020
movie,Dick Johnson Is Dead,2020
movie,The Mole Agent,2020
movie,Time,2020
movie,Boys State,2020
movie,Collective,2020
movie,The Painter and the Thief,2020
movie,Welcome to Chechnya,2020
movie,The Truffle Hunters,2020
movie,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021
movie,Flee,2021
movie,Writing with Fire,2021
movie,Cusp,2021
movie,"All Light, Everywhere",2021
movie,President,2021
movie,Try Harder!,2021
movie,Fire of Love,2022
movie,Navalny,2022
movie,All That Breathes,2022
movie,The Territory,2022
movie,Descendant,2022
movie,Free Chol Soo Lee,2022
movie,A House Made of Splinters,2022
movie,20 Days in Mariupol,2023
movie,Beyond Utopia,2023
movie,The Eternal Memory,2023
movie,Going to Mars: The Nikki Giovanni Project,2023
movie,Still: A Michael J. Fox Movie,2023
movie,The Stroll,2023
movie,The Deepest Breath,2023
movie,The Greatest Night in Pop,2024
movie,Daughters,2024
movie,Porcelain War,2024
movie,Sugarcane,2024
movie,Will & Harper,2024
movie,Nocturnes,2024
movie,Union,2024
movie,Soundtrack to a Coup d'Etat,2024
movie,Super/Man: The Christopher Reeve Story,2024
movie,Black Box Diaries,2024
movie,Andre is an Idiot,2025
movie,Prime Minister,2025
movie,2000 Meters to Andriivka,2025
movie,The Perfect Neighbor,2025
movie,Mr. Nobody Against Putin,2025
movie,"Coexistence, My Ass!",2025
