type,title,year
movie,"sex, lies, and videotape",1989
movie,Metropolitan,1990
movie,Slacker,1991
movie,Clerks,1994
movie,Reality Bites,1994
movie,Before Sunrise,1995
movie,The Brothers McMullen,1995
movie,Welcome to the Dollhouse,1995
movie,Bottle Rocket,1996
movie,Walking and Talking,1996
movie,"Happy, Texas",1999
movie,But I'm a Cheerleader,2000
movie,Chuck & Buck,2000
movie,Wet Hot American Summer,2001
movie,Hedwig and the Angry Inch,2001
movie,Super Troopers,2001
movie,Secretary,2002
movie,The Good Girl,2002
movie,Real Women Have Curves,2002
movie,The Station Agent,2003
movie,American Splendor,2003
movie,Pieces of April,2003
movie,Napoleon Dynamite,2004
movie,Garden State,2004
movie,Saved!,2004
movie,Me and You and Everyone We Know,2005
movie,Little Miss Sunshine,2006
movie,Waitress,2007
movie,Rocket Science,2007
movie,Son of Rambow,2007
movie,Sunshine Cleaning,2008
movie,(500) Days of Summer,2009
movie,Adventureland,2009
movie,Humpday,2009
movie,Cyrus,2010
movie,happythankyoumoreplease,2010
movie,The Kids Are All Right,2010
movie,Win Win,2011
movie,Our Idiot Brother,2011
movie,Safety Not Guaranteed,2012
movie,Sleepwalk with Me,2012
movie,Celeste & Jesse Forever,2012
movie,Liberal Arts,2012
movie,The Way Way Back,2013
movie,The Spectacular Now,2013
movie,In a World...,2013
movie,Austenland,2013
movie,Obvious Child,2014
movie,Dear White People,2014
movie,The Skeleton Twins,2014
movie,Laggies,2014
movie,Dope,2015
movie,Me and Earl and the Dying Girl,2015
movie,The Diary of a Teenage Girl,2015
movie,Mistress America,2015
movie,Morris from America,2016
movie,Swiss Army Man,2016
movie,Other People,2016
movie,Captain Fantastic,2016
movie,The Fundamentals of Caring,2016
movie,The Incredible Jessica James,2017
movie,Patti Cake$,2017
movie,Ingrid Goes West,2017
movie,The Big Sick,2017
movie,Brigsby Bear,2017
movie,Sorry to Bother You,2018
movie,Eighth Grade,2018
movie,Hearts Beat Loud,2018
movie,Brittany Runs a Marathon,2019
movie,Late Night,2019
movie,The Farewell,2019
movie,Palm Springs,2020
movie,Save Yourselves!,2020
movie,Together Together,2021
movie,CODA,2021
movie,Cha Cha Real Smooth,2022
movie,Theater Camp,2023
movie,Sometimes I Think About Dying,2023
movie,Shortcomings,2023
movie,You Hurt My Feelings,2023
movie,Thelma,2024
movie,A Real Pain,2024
movie,Dìdi,2024
movie,Twinless,2025
