title,year,trakt_id
Adulthood,2025,
The Choral,2025,
Eleanor the Great,2025,
Eternity,2025,
Glenrothan,2025,
Good Fortune,2025,
Hamnet,2025,
Homebound,2025,
John Candy: I Like Me,2025,
No Other Choice,2025,
Nuremberg,2025,
Palestine 36,2025,
A Private Life,2025,
Roofman,2025,
Swiped,2025,
Two Pianos,2025,
& Sons,2025,
Bad Apples,2025,
Ballad of a Small Player,2025,
California Schemin',2025,
The Captive,2025,
Charlie Harper,2025,
Dead Man's Wire,2025,
Dog 51,2025,
Easy's Waltz,2025,
The Fence,2025,
Frankenstein,2025,
Franz,2025,
Good News,2025,
Hedda,2025,
If I Had Legs I'd Kick You,2025,
It Was Just an Accident,2025,
Kokuho,2025,
The Lost Bus,2025,
Lovely Day,2025,
Meadowlarks,2025,
Monkey in a Cage,2025,
Nouvelle Vague,2025,
A Pale View of Hills,2025,
A Poet,2025,
Poetic License,2025,
Primavera,2025,
Project Y,2025,
Rental Family,2025,
Rose of Nevada,2025,
Sacrifice,2025,
Scarlet,2025,
The Secret Agent,2025,
Sentimental Value,2025,
Silent Friend,2025,
Sirāt,2025,
The Smashing Machine,2025,
Sound of Falling,2025,
Steal Away,2025,
The Testament of Ann Lee,2025,
Three Goodbyes,2025,
Train Dreams,2025,
The Ugly,2025,
The Voice of Hind Rajab,2025,
Wake Up Dead Man: A Knives Out Mystery,2025,
The Wizard of the Kremlin,2025,
Wrong Husband,2025,
You Had To Be There,2025,
Arco,2025,
Barrio Triste,2025,
Blood Lines,2025,
Blue Moon,2025,
Carolina Caroline,2025,
The Condor Daughter,2025,
The Cost of Heaven,2025,
Diya,2025,
Duse,2025,
Eagles of the Republic,2025,
Exit 8,2025,
Follies,2025,
Girl,2025,
Good Boy,2025,
Hamlet,2025,
Honey Bunch,2025,
I Swear,2025,
In Search of the Sky,2025,
The Last One for the Road,2025,
Left-Handed Girl,2025,
The Little Sister,2025,
The Love That Remains,2025,
Lucky Lu,2025,
Mama,2025,
Memory of Princess Mumbi,2025,
Milk Teeth,2025,
Motor City,2025,
My Father's Shadow,2025,
New Year's Rev,2025,
Nimrods,2025,
Olmo,2025,
Orphan,2025,
Palimpsest: the Story of a Name,2025,
The President's Cake,2025,
Renoir,2025,
Saipan,2025,
Space Cadet,2025,
The Sun Rises on Us All,2025,
Two Prosecutors,2025,
Under the Same Sun,2025,
Unidentified,2025,
Wasteman,2025,
Whitetail,2025,
Youngblood,2025,
100 Sunset,2025,
Amoeba,2025,
As We Breathe,2025,
Babystar,2025,
Dinner with Friends,2025,
Ghost School,2025,
Laundry,2025,
Little Lorraine,2025,
The Man in My Basement,2025,
November,2025,
Our Father,2025,
Retreat,2025,
Sink,2025,
At the Place of Ghosts,2025,
Between Dreams and Hope,2025,
The Currents,2025,
Nino,2025,
Steve,2025,
Winter of the Crow,2025,
Dead Lover,2025,
Dust Bunny,2025,
The Furious,2025,
Junk World,2025,
Nirvanna the Band the Show the Movie,2025,
Normal,2025,
The Road Between Us: The Ultimate Rescue,2025,
